,cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat,distance_to_center,cluster
630,0.999996542,0.985308164,-0.071949916,-0.057528835,0.0,0.985496851,-0.147887726,-0.032735415,-0.891313769,-0.052022117,1.8939059972763062,2
651,0.996846926,0.98191302,0.0,0.0,0.0,-0.19221949,0.995817742,-0.031788552,1.929498227,-0.0543823,1.6794919967651367,1
669,0.965919136,0.843966124,-0.161757847,-0.347928872,0.0,0.394146395,0.596610301,-0.032156756,0.947573604,-0.054252535,1.8361701965332031,1
675,0.999799312,0.978896363,-0.076043885,-0.001275444,-0.025363051,0.771303779,0.999179702,-0.033106672,2.095560084,-0.054382903,1.7601152658462524,2
699,0.990775959,0.886172321,0.045367848,-0.330793596,0.0,0.874734297,0.659373846,-0.031834166,-0.941025744,-0.050031917,1.9440932273864746,1
721,0.993608848,0.972614257,0.208385953,0.080786177,0.0,0.67585338,0.349056651,-0.032139672,-0.506158201,-0.053614686,2.117502450942993,0
738,0.999997219,0.995838543,0.865572599,0.864662572,0.0,0.619547243,0.448806635,-0.027776688,0.271060066,-0.053738887,1.6961926221847534,0
768,0.904034466,0.885064216,0.005992013,-0.259307182,0.0,0.780331488,-0.029634468,-0.033017229,-0.979551556,-0.049273403,1.8686105012893677,0
793,0.999999999,1.0,0.368262427,0.368266307,0.0,0.066478044,0.978795011,-0.033678278,-0.123698016,-0.054164088,2.6541237831115723,0
801,0.999993765,0.996962976,0.130212608,0.092863113,0.0,0.781347059,0.75162754,-0.03279454,0.744505343,-0.054269085,1.7025803327560425,1
831,0.925524018,0.921147321,0.264830379,0.286762202,0.0,0.822861901,0.970974694,-0.032482605,1.784004213,-0.054313663,2.0212221145629883,2
858,0.998500157,0.998716849,0.434256534,0.405424473,0.0,0.893309646,0.486707737,-0.032753872,-0.787053203,-0.052918209,1.812004804611206,1
874,0.996588531,0.99989205,0.90233272,0.880036218,0.0,0.871109242,-0.52004809,-0.031821239,-1.064661697,0.270301799,2.1528239250183105,2
879,1.0,1.0,-0.253033842,-0.25303096,0.0,0.293463636,0.529238103,-0.033161336,-0.150017273,-0.054087027,1.9095690250396729,2
923,0.999999517,0.995743472,-0.212746621,-0.177515607,0.0,0.85108091,0.205003266,-0.032725061,-0.914559958,-0.051634314,2.1429994106292725,1
947,0.999950518,0.999488927,-0.231996243,-0.2307949,0.0,0.957332036,-0.059711774,-0.03294972,-0.917019541,-0.051770201,2.4490182399749756,1
955,0.999965476,0.999995346,0.732910894,0.732179257,0.0,0.742742536,0.185667738,-0.032637029,-0.777298958,-0.05295771,2.2363979816436768,2
959,0.99981797,0.998222677,0.277055555,0.292672697,0.0,0.411237835,0.423865713,-0.032217469,-1.038824769,-0.036498411,1.764351487159729,1
962,0.988854336,0.998013298,0.911472612,0.879160211,0.232445556,0.489002723,0.906852756,-0.031463554,-0.528633091,-0.053298687,2.0133910179138184,2
983,0.965453576,0.812138346,0.376566847,-0.081566824,0.0,0.363440943,0.678485222,-0.031119564,-0.91988223,-0.049977248,2.169551372528076,0
994,1.0,0.999167692,0.050391712,0.040221023,0.0,0.935793051,0.304902677,-0.032585359,-0.76631863,-0.052997515,2.0295560359954834,0
1029,1.0,0.877846604,-0.071372152,-0.086612852,0.0,0.888461441,-0.122453639,-0.032132577,-1.063701988,0.129791217,2.169923782348633,1
1030,0.999964067,0.935004964,0.300601864,0.233387458,0.0,0.428687221,0.123702335,-0.031919453,-0.998866013,-0.046627624,3.059384346008301,1
1041,0.99154893,0.999972668,0.157794546,0.110062187,0.0,0.965252938,0.440698894,-0.032916028,-0.61925636,-0.053536708,1.9434071779251099,1
1068,0.99999999,0.991863026,0.651303911,0.606479534,0.0,0.729972282,0.606859445,-0.032234891,-0.825647858,-0.052452342,2.1041839122772217,0
1105,0.999942268,0.63602772,0.557108753,0.347995269,0.0,0.05861959,0.542962323,-0.032528918,-1.015968776,-0.045418151,1.6863349676132202,2
1140,0.999999542,0.933786868,0.599920074,0.451191482,0.0,0.571396545,0.316684054,-0.029343699,-0.917482508,-0.048872308,1.9863381385803223,1
1159,0.976233871,0.999999861,0.722587993,0.821278457,0.0,0.240721443,0.532989928,-0.033529582,-1.020012769,-0.04547474,1.7522542476654053,2
1170,0.99999069,0.99676919,-0.037323338,0.027321083,0.0,0.280773638,0.971191992,-0.033767873,0.435342954,-0.054298314,1.8950904607772827,2
1180,0.999999998,1.0,-0.016676424,-0.016673958,0.0,0.10786291,0.779655619,-0.034935042,0.480110375,-0.05439452,2.2521681785583496,2
